occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
03/03/2017;Fête nationale de la Bulgarie (libération de la domination ottomane);Libération de la domination ottomane.;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-33
04/03/2017;Fête des Grands-Mères;;46;5;Kaendrier.com;;;Jours spéciaux;3;https://www.kalendrier.com/fetes-civiles.html
05/03/2017;Semi-Marathon de Paris;5 mars, Semi-Marathon de Paris;31;4;Le Parisien;;;Athlétisme;3;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
05/03/2017;Course Paris-Nice;5 au 12 mars, Paris-Nice;34;4;Le Parisien;;;Cyclisme;3;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
06/03/2017;Fête nationale du Ghana (indépendance en 1957);Déclaration d'indépendance en 1957.;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-76
08/03/2017;Journée internationale des femmes;Journée internationale des femmes;21;5;ONU;;;Diversité;3;
09/03/2017;Tournois masculin (Masters 1000) et féminin d'Indian Wells ;Tournoi masculin de  BNP Paribas Open, Indian Wells - Masters 1000;39;4;Wikipedia;;;Tennis;3;Tournoi de BNP Paribas Open, Indian Wells sur Dur (ext.)d'une dotation de 6 993 450 $
11/03/2017;Tournoi des six Nations, Italie - France;11 mars, Italie - France;37;4;Le Parisien;;;Rugby;3;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
12/03/2017;Fête nationale de Maurice (indépendance en 1968);Accession à l'indépendance en 1968.;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-130
13/03/2017;Procès de Sonia Imloul pour détournements de biens;Le 13/03 - Procès de Sonia Imloul pour détournements de biens - Tribunal correctionnel - Paris;26;2;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
14/03/2017;Procès du 'tueur de l'Essonne' Yoni Palmier;Du 14 au 31/03 - Procès du 'tueur de l'Essonne' Yoni Palmier - Cour d'assises d'appel - Paris;26;4;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
15/03/2017;Procès de la 'filière de Strasbourg';Du 15 au 29/03 - Procès de la 'filière de Strasbourg' - Cour d'appel - Paris;26;4;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
15/03/2017;Fête nationale de la Hongrie (« Nemzeti ünnep » : commémoration de l'indépendance de la Hongrie en 1848);« Nemzeti ünnep » : commémoration de l'indépendance de la Hongrie en 1848.;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-88
16/03/2017;Jugement d'un restaurateur de Tremblay pour discrimination raciale;Le 16/03 - Jugement d'un restaurateur de Tremblay pour discrimination raciale - Tribunal correctionnel - Bobigny;26;3;PJ;;;Justice;3;http://www.pressejudiciaire.fr/10.html
17/03/2017;Fête nationale de l'Irlande (fête de la Saint-Patrick);Fête de la Saint-Patrick;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-94
17/03/2017;Festival des Arts de musique classique de Monte-Carlo;;7;4;;;;Musique;3;http://www.france-voyage.com/evenements/
18/03/2017;Tournoi des six Nations, France - Galles;18 mars, France - Galles;37;4;Le Parisien;;;Rugby;3;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
18/03/2017;Course Milan-San Remo;18 mars, Milan-San Remo;34;3;Le Parisien;;;Cyclisme;3;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
18/03/2017;Fête nationale d'Aruba (« Jour du drapeau » : accord pour l'auto-détermination avec les Pays-Bas en 1948);« Jour du drapeau » : accord pour l'auto-détermination avec les Pays-Bas en 1948.;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-13
19/03/2017;Fête nationale du Vatican (anniversaire de la messe d'inauguration du pape : sous François, le 19 mars 2013);Anniversaire de la messe d'inauguration du pape : sous François, le 19 mars 2013).;45;2;Wikipedia;;;Fêtes étrangères;3;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-211
20/03/2017;Nuit de l'entreprise numérique (IT'Night);IT'Night - La nuit de l'entreprise numérique;14;2;Agence360;;;High-tech;3;excel
20/03/2017;Salon mondial du marché numérique (CeBIT);CeBIT, salon mondial du marché numérique;14;3;Agence360;;;High-tech;3;excel
20/03/2017;Semaine de la presse et des médias dans l'école;Semaine de la presse et des médias dans l'école;17;2;Agence360;;;Médias;3;excel
20/03/2017;Semaine internationale pour les alternatives aux pesticides;Semaine internationale pour les alternatives aux pesticides;23;3;Agence360;;;Environnement;3;excel
20/03/2017;290e anniversaire de la mort d'Isaac Newton (1642-1727);290e anniversaire de la mort d'Isaac Newton (1642-1727);18;1;Agence360;;;Sciences;3;excel
20/03/2017;Journée Mondiale de la santé bucco-dentaire;Journée Mondiale de la santé bucco-dentaire;29;2;Agence360;;;Santé;3;excel
