occurs_at;headline;headline_initial;sub_category_id;rating;source;valid;description;sub_category_name;month;source_url
01/06/2017;Début de la  Finale NBA;1er au 18 juin, Finale NBA;33;3;Le Parisien;;;Basket;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
01/06/2017;Début du Tour de France;1er au 23 juillet, Tour de France;34;5;Le Parisien;;;Cyclisme;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
01/06/2017;Fête nationale de  Samoa (célébration de l'indépendance).;Célébration de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-176
02/06/2017;Fête nationale de l'Italie (abolition de la Monarchie et proclamation de la République en 1946).;Abolition de la Monarchie et proclamation de la République en 1946;45;2;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-98
03/06/2017;Début du Final Four de la Ligue des Champions de handball à Cologne;3 et 4 juin, Final Four de la Ligue des Champions à Cologne;0;3;Le Parisien;;;Sport;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
03/06/2017;Finale de la Champions' League à Cardiff;Finale (Cardiff) 3 juin;35;5;Le Parisien;;;Football;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
03/06/2017;Début du SAKIFO Musik Festival à Saint-Pierre de la Réunion.;03-05 ▸SAKIFO Musik Festival à Saint-Pierre de la Réunion;7;4;Atout France;;;Musique;6;PDF
04/06/2017;Journée internationale des enfants victimes innocentes de l'agression;Journée internationale des enfants victimes innocentes de l'agression (A/RES/ES-7/8);25;3;ONU;;;International;6;
04/06/2017;Finale du championnat de France au Stade de France;4 juin, Finale au Stade de France;37;5;Le Parisien;;;Rugby;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
04/06/2017;Début du Critérium du Dauphiné;4 au 11 juin, Critérium du Dauphiné;34;4;Le Parisien;;;Cyclisme;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
04/06/2017;Fête nationale de Tonga (fête de l'émancipation,qui commémore l'abolition du servage en 1862 et l'indépendance vis-à-vis du Royaume-Uni en 1972).;Fête de l'émancipation1, commémore l'abolition du servage en 1862 et l'indépendance vis-à-vis du Royaume-Uni en 1972.;45;2;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-201
05/06/2017;Journée mondiale de l'environnement;Journée mondiale de l'environnement (A/RES/2994 (XXVII));23;4;ONU;;;Environnement;6;
05/06/2017;Début du 100ème Giro, le Tour d’Italie;5 au 28 mai, 100e Tour d’Italie;34;5;Le Parisien;;;Cyclisme;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
05/06/2017;Fête nationale du Danemark (constitution de 1849).;Constitution de 1849;45;2;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-56
05/06/2017;Lundi de Pentecôte;;41;5;Kalendrier.com;;;Jours fériés;6;https://www.kalendrier.com/jours-feries/2017.html
06/06/2017;Journée de la langue russe;Journée de la langue russe;21;3;ONU;;;Diversité;6;
06/06/2017;Fête nationale de la Suède (sacre de Gustav Vasa en 1523 et constitution de 1809).;Sacre de Gustav Vasa en 1523. Constitution de 1809.;45;3;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-189
06/06/2017;Salon MIDEM, marché international de l’édition musicale à Cannes;06-09 ▸Salon MIDEM, marché international de l’édition musicale, Cannes;7;4;Atout France;;;Musique;6;PDF
07/06/2017;Dernière journée de la D 1 masculine de handball;7 et 8 juin, Dernière journée de la D 1 masculine;0;2;Le Parisien;;;Sport;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
07/06/2017;Début du procès en diffamation de la policière municipale de Nice Sandra Bertin - Tribunal correctionnel - Paris;Le 7/06 - Procès en diffamation de la policière municipale de Nice Sandra Bertin - Tribunal correctionnel - Paris;26;3;PJ;;;Justice;6;http://www.pressejudiciaire.fr/10.html
08/06/2017;Journée mondiale de l'océan;Journée mondiale de l'océan (A/RES/63/111);23;2;ONU;;;Environnement;6;
09/06/2017;Eliminatoires de la Coupe du Monde 2018: Suède - France;9 juin, Suède - France;35;5;Le Parisien;;;Football;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
09/06/2017;Voile Giraglia Rolex Cup à Saint Tropez.;09-13 ▸Voile Giraglia Rolex Cup - Saint Tropez;40;3;Atout France;;;Voile;6;PDF
10/06/2017;Test-match, Af. du Sud - France (Pretoria);10 juin, Af. du Sud - France (Pretoria);37;4;Le Parisien;;;Rugby;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
10/06/2017;Début de la Finale des Challengers de la Coupe de l'América;10 au 12 juin, Finale des Challengers;40;3;Le Parisien;;;Voile;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
10/06/2017;Fête nationale du Portugal (célébration de la mort du poète Luis de Camões en 1580).;Célébration de la mort du poète Luis de Camões (1580).;45;4;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-163
11/06/2017;Fête nationale du Royaume-Uni (célébration de l'anniversaire de Sa Majesté la Reine).;Célébration de l'anniversaire de Sa Majesté la Reine;45;4;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-167
12/06/2017;Journée mondiale contre le travail des enfants;Journée mondiale contre le travail des enfants;21;3;ONU;;;Diversité;6;
12/06/2017;Début des championnats d'Europe d'escrime à Tbilissi (Géo);12 au 17 juin, Championnats d’Europe à Tbilissi (Géo);0;2;Le Parisien;;;Sport;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
12/06/2017;Fête nationale des Philippines (déclaration d'indépendance en 1898).;Déclaration d'indépendance en 1898.;45;2;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-160
12/06/2017;Fête nationale de la Russie (anniversaire de l'indépendance vis-à-vis de l'Union soviétique en 1991).;Anniversaire de l'indépendance vis-à-vis de l'Union soviétique (1991);45;4;Wikipedia;;;Fêtes étrangères;6;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-168
13/06/2017;Journée internationale de sensibilisation à l'albinisme;Journée internationale de sensibilisation à l'albinisme (A/RES/69/170);29;3;ONU;;;Santé;6;
13/06/2017;Match amical entre la France et l'Angleterre;13 juin, France - Angleterre;35;4;Le Parisien;;;Football;6;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
13/06/2017;Début du festival et marché international du film d’animation  à Annecy.;13-18 ▸ Festival et marché international du film d’animation-Annecy;2;3;Atout France;;;Cinéma;6;PDF
14/06/2017;Journée mondiale du donneur de sang;Journée mondiale du donneur de sang [OMS] (WHA58.13);29;3;ONU;;;Santé;6;
15/06/2017;Journée mondiale de sensibilisation à la maltraitance des personnes âgées;Journée mondiale de sensibilisation à la maltraitance des personnes âgées (A/RES/66/127);29;2;ONU;;;Santé;6;
15/06/2017;Opposition de Saturne;;18;2;Futura Sciences;;;Sciences;6;http://www.futura-sciences.com/sciences/actualites/astronomie-10-evenements-astronomiques-vont-marquer-2017-65785/
